[Wed Jun 12 13:28:20.963705 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  16. Illuminate\\Foundation\\Http\\Middleware\\ConvertEmptyStringsToNull->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963712 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  17. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963718 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  18. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963724 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  19. LaraManager\\Http\\Middleware\\TrustProxies->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963731 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  20. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/fideloper/proxy/src/TrustProxies.php:57, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963738 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  21. LaraManager\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:173-177}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963754 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  22. Illuminate\\Routing\\Router->dispatch() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963761 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  23. Illuminate\\Routing\\Router->dispatchToRoute() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Router.php:612, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963767 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  24. Illuminate\\Routing\\Router->runRoute() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Router.php:623, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963773 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  25. Illuminate\\Routing\\Router->runRouteWithinStack() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Router.php:657, referer: http://laramanager.dev.br/
